speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,25,199,645,0.12562814070351758,0,50,SGMM.tsv
2,48,307,1308,0.1563517915309446,0,100,SGMM.tsv
2,68,406,1814,0.16748768472906403,0,150,SGMM.tsv
2,91,461,2304,0.19739696312364424,0,200,SGMM.tsv
2,123,573,2959,0.21465968586387435,0,250,SGMM.tsv
2,136,612,3419,0.2222222222222222,0,300,SGMM.tsv
2,162,652,3952,0.24846625766871167,0,350,SGMM.tsv
2,177,687,4398,0.2576419213973799,0,400,SGMM.tsv
2,190,747,4935,0.2543507362784471,0,450,SGMM.tsv
2,201,759,5090,0.2648221343873518,0,467,SGMM.tsv
