speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,27,168,498,0.16071428571428573,0,50,SLRY.tsv
2,39,242,870,0.16115702479338842,0,100,SLRY.tsv
2,58,331,1446,0.17522658610271905,0,150,SLRY.tsv
2,77,386,1943,0.19948186528497408,0,200,SLRY.tsv
2,105,461,2667,0.227765726681128,0,250,SLRY.tsv
2,123,512,3183,0.240234375,0,300,SLRY.tsv
2,150,565,3791,0.26548672566371684,0,350,SLRY.tsv
2,171,613,4342,0.27895595432300163,0,400,SLRY.tsv
2,182,672,4863,0.2708333333333333,0,450,SLRY.tsv
2,182,673,4887,0.2704309063893016,0,452,SLRY.tsv
