speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,13,172,515,0.0755813953488372,0,50,SR9W.tsv
2,30,258,850,0.11627906976744186,0,100,SR9W.tsv
2,52,329,1149,0.1580547112462006,0,150,SR9W.tsv
2,66,424,1593,0.15566037735849056,0,200,SR9W.tsv
2,95,509,2140,0.18664047151277013,0,250,SR9W.tsv
2,110,563,2512,0.19538188277087035,0,300,SR9W.tsv
2,125,607,2820,0.20593080724876442,0,350,SR9W.tsv
2,138,664,3226,0.20783132530120482,0,400,SR9W.tsv
2,153,724,3639,0.21132596685082872,0,450,SR9W.tsv
2,171,763,4109,0.22411533420707733,0,500,SR9W.tsv
2,180,797,4411,0.2258469259723965,0,550,SR9W.tsv
2,192,852,4934,0.22535211267605634,0,592,SR9W.tsv
