speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,35,167,441,0.20958083832335328,0,50,S35K.tsv
2,15,119,256,0.12605042016806722,50,100,S35K.tsv
2,28,123,281,0.22764227642276422,100,150,S35K.tsv
2,23,107,216,0.21495327102803738,150,200,S35K.tsv
2,18,136,272,0.1323529411764706,200,250,S35K.tsv
2,24,128,292,0.1875,250,300,S35K.tsv
2,7,144,323,0.04861111111111111,300,350,S35K.tsv
2,15,122,294,0.12295081967213115,350,400,S35K.tsv
2,25,132,284,0.1893939393939394,400,450,S35K.tsv
2,26,132,306,0.19696969696969696,450,500,S35K.tsv
2,42,177,411,0.23728813559322035,500,550,S35K.tsv
2,28,130,325,0.2153846153846154,550,600,S35K.tsv
2,15,147,318,0.10204081632653061,600,650,S35K.tsv
2,18,115,236,0.1565217391304348,650,700,S35K.tsv
2,18,169,356,0.10650887573964497,700,750,S35K.tsv
2,26,161,349,0.16149068322981366,750,800,S35K.tsv
2,10,125,235,0.08,800,850,S35K.tsv
2,9,122,233,0.07377049180327869,850,900,S35K.tsv
2,29,160,330,0.18125,900,950,S35K.tsv
2,26,152,308,0.17105263157894737,950,1000,S35K.tsv
2,24,169,381,0.14201183431952663,1000,1050,S35K.tsv
2,32,154,359,0.2077922077922078,1050,1100,S35K.tsv
2,31,167,434,0.18562874251497005,1100,1150,S35K.tsv
2,57,248,692,0.22983870967741934,1150,1200,S35K.tsv
2,26,140,299,0.18571428571428572,1200,1250,S35K.tsv
2,33,137,322,0.24087591240875914,1250,1300,S35K.tsv
2,26,121,236,0.21487603305785125,1300,1350,S35K.tsv
2,24,150,317,0.16,1350,1400,S35K.tsv
2,16,124,256,0.12903225806451613,1400,1450,S35K.tsv
2,31,167,401,0.18562874251497005,1450,1500,S35K.tsv
2,25,159,388,0.15723270440251572,1500,1550,S35K.tsv
2,54,198,612,0.2727272727272727,1550,1600,S35K.tsv
2,60,241,728,0.24896265560165975,1600,1650,S35K.tsv
2,21,142,335,0.14788732394366197,1650,1700,S35K.tsv
2,39,171,384,0.22807017543859648,1700,1750,S35K.tsv
2,31,161,358,0.19254658385093168,1750,1800,S35K.tsv
2,12,111,218,0.10810810810810811,1800,1850,S35K.tsv
2,32,197,574,0.16243654822335024,1850,1900,S35K.tsv
2,22,139,272,0.15827338129496402,1900,1950,S35K.tsv
2,26,131,302,0.1984732824427481,1950,2000,S35K.tsv
2,34,160,405,0.2125,2000,2050,S35K.tsv
2,36,199,455,0.18090452261306533,2050,2100,S35K.tsv
2,35,187,527,0.18716577540106952,2100,2150,S35K.tsv
2,34,151,371,0.2251655629139073,2150,2200,S35K.tsv
2,42,175,429,0.24,2200,2250,S35K.tsv
2,24,109,211,0.22018348623853212,2250,2300,S35K.tsv
2,41,139,341,0.2949640287769784,2300,2350,S35K.tsv
2,34,163,433,0.2085889570552147,2350,2400,S35K.tsv
2,29,122,267,0.23770491803278687,2400,2450,S35K.tsv
2,28,143,300,0.1958041958041958,2450,2500,S35K.tsv
2,0,3,3,0.0,2500,2501,S35K.tsv
