speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,61,235,593,0.25957446808510637,0,50,S7HR.tsv
2,55,206,461,0.2669902912621359,50,100,S7HR.tsv
2,51,179,473,0.2849162011173184,100,150,S7HR.tsv
2,51,192,536,0.265625,150,200,S7HR.tsv
2,56,269,658,0.20817843866171004,200,250,S7HR.tsv
2,59,289,764,0.2041522491349481,250,300,S7HR.tsv
2,63,243,634,0.25925925925925924,300,350,S7HR.tsv
2,54,234,566,0.23076923076923078,350,400,S7HR.tsv
2,58,223,492,0.2600896860986547,400,450,S7HR.tsv
2,54,193,459,0.27979274611398963,450,500,S7HR.tsv
2,42,216,527,0.19444444444444445,500,550,S7HR.tsv
2,0,1,1,0.0,550,551,S7HR.tsv
