speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,38,146,384,0.2602739726027397,0,50,SK39.tsv
2,36,172,434,0.20930232558139536,50,100,SK39.tsv
2,49,174,426,0.28160919540229884,100,150,SK39.tsv
2,46,145,394,0.31724137931034485,150,200,SK39.tsv
2,35,149,377,0.2348993288590604,200,250,SK39.tsv
2,55,177,440,0.3107344632768362,250,300,SK39.tsv
2,49,184,552,0.266304347826087,300,350,SK39.tsv
2,54,239,706,0.22594142259414227,350,400,SK39.tsv
2,63,178,477,0.3539325842696629,400,450,SK39.tsv
2,46,180,507,0.25555555555555554,450,500,SK39.tsv
2,42,213,605,0.19718309859154928,500,550,SK39.tsv
2,21,93,200,0.22580645161290322,550,568,SK39.tsv
