speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,57,261,653,0.21839080459770116,0,50,SKXA.tsv
2,40,177,445,0.22598870056497175,50,100,SKXA.tsv
2,50,155,475,0.3225806451612903,100,150,SKXA.tsv
2,51,207,471,0.2463768115942029,150,200,SKXA.tsv
2,50,189,427,0.26455026455026454,200,250,SKXA.tsv
2,37,190,446,0.19473684210526315,250,300,SKXA.tsv
2,50,190,486,0.2631578947368421,300,350,SKXA.tsv
2,47,187,395,0.25133689839572193,350,400,SKXA.tsv
2,48,190,444,0.25263157894736843,400,450,SKXA.tsv
2,53,220,553,0.2409090909090909,450,500,SKXA.tsv
2,57,202,562,0.28217821782178215,500,550,SKXA.tsv
2,54,221,633,0.24434389140271492,550,600,SKXA.tsv
2,41,204,505,0.20098039215686275,600,650,SKXA.tsv
2,38,210,509,0.18095238095238095,650,700,SKXA.tsv
2,45,195,551,0.23076923076923078,700,750,SKXA.tsv
2,51,255,713,0.2,750,800,SKXA.tsv
2,60,215,553,0.27906976744186046,800,850,SKXA.tsv
2,71,272,748,0.2610294117647059,850,900,SKXA.tsv
2,62,250,733,0.248,900,950,SKXA.tsv
2,65,215,612,0.3023255813953488,950,1000,SKXA.tsv
2,52,204,493,0.2549019607843137,1000,1050,SKXA.tsv
2,52,221,506,0.23529411764705882,1050,1100,SKXA.tsv
2,47,179,424,0.26256983240223464,1100,1150,SKXA.tsv
2,49,203,494,0.2413793103448276,1150,1200,SKXA.tsv
2,54,181,388,0.2983425414364641,1200,1244,SKXA.tsv
