speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,60,232,737,0.25862068965517243,0,50,SLJ5.tsv
2,44,173,477,0.2543352601156069,50,100,SLJ5.tsv
2,63,242,664,0.2603305785123967,100,150,SLJ5.tsv
2,66,226,589,0.2920353982300885,150,200,SLJ5.tsv
2,55,217,641,0.2534562211981567,200,250,SLJ5.tsv
2,55,176,481,0.3125,250,300,SLJ5.tsv
2,46,166,422,0.27710843373493976,300,350,SLJ5.tsv
2,58,189,552,0.30687830687830686,350,400,SLJ5.tsv
2,61,202,532,0.30198019801980197,400,450,SLJ5.tsv
2,52,204,532,0.2549019607843137,450,500,SLJ5.tsv
2,62,210,566,0.29523809523809524,500,550,SLJ5.tsv
2,47,194,460,0.2422680412371134,550,600,SLJ5.tsv
2,44,175,489,0.25142857142857145,600,650,SLJ5.tsv
2,42,147,400,0.2857142857142857,650,700,SLJ5.tsv
2,71,204,580,0.3480392156862745,700,750,SLJ5.tsv
2,45,161,453,0.2795031055900621,750,800,SLJ5.tsv
2,11,54,86,0.2037037037037037,800,819,SLJ5.tsv
