speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,47,177,465,0.2655367231638418,0,50,SPMV.tsv
2,42,187,559,0.22459893048128343,50,100,SPMV.tsv
2,41,173,401,0.23699421965317918,100,150,SPMV.tsv
2,37,177,465,0.20903954802259886,150,200,SPMV.tsv
2,34,153,385,0.2222222222222222,200,250,SPMV.tsv
2,53,161,433,0.32919254658385094,250,300,SPMV.tsv
2,45,195,486,0.23076923076923078,300,350,SPMV.tsv
2,52,148,350,0.35135135135135137,350,400,SPMV.tsv
2,44,178,392,0.24719101123595505,400,450,SPMV.tsv
2,46,167,448,0.2754491017964072,450,500,SPMV.tsv
2,42,126,284,0.3333333333333333,500,534,SPMV.tsv
