speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,78,145,383,0.1793103448275862,39,39,0,0,50,S7SU.tsv
3,148,222,771,0.2222222222222222,74,74,0,0,100,S7SU.tsv
3,218,305,1250,0.23825136612021858,109,109,0,0,150,S7SU.tsv
3,306,428,2065,0.2383177570093458,153,153,0,0,200,S7SU.tsv
3,348,474,2437,0.24472573839662448,174,174,0,0,250,S7SU.tsv
3,414,542,2964,0.25461254612546125,207,207,0,0,300,S7SU.tsv
3,448,599,3405,0.2493043962159154,224,224,0,0,350,S7SU.tsv
3,478,633,3881,0.2517114270668773,239,239,0,0,400,S7SU.tsv
3,508,662,4361,0.25579053373615307,254,254,0,0,450,S7SU.tsv
3,528,700,4765,0.25142857142857145,264,264,0,0,500,S7SU.tsv
3,556,732,5324,0.25318761384335153,278,278,0,0,550,S7SU.tsv
3,590,778,5778,0.2527849185946872,295,295,0,0,600,S7SU.tsv
3,620,822,6284,0.25141930251419303,310,310,0,0,650,S7SU.tsv
3,658,849,6855,0.25834314880251275,329,329,0,0,700,S7SU.tsv
3,684,885,7323,0.2576271186440678,342,342,0,0,750,S7SU.tsv
3,718,928,7772,0.2579022988505747,359,359,0,0,800,S7SU.tsv
3,750,984,8458,0.2540650406504065,375,375,0,0,850,S7SU.tsv
3,784,1032,9058,0.2532299741602067,392,392,0,0,900,S7SU.tsv
3,820,1065,9419,0.2566510172143975,410,410,0,0,950,S7SU.tsv
3,840,1084,9850,0.25830258302583026,420,420,0,0,1000,S7SU.tsv
3,856,1102,10249,0.2589231699939504,428,428,0,0,1050,S7SU.tsv
3,894,1136,10883,0.2623239436619718,441,441,12,0,1100,S7SU.tsv
3,957,1162,11209,0.27452667814113596,452,448,57,0,1150,S7SU.tsv
3,1001,1191,11686,0.28015673103834315,469,466,66,0,1200,S7SU.tsv
3,1039,1234,12556,0.28065910318746623,488,485,66,0,1250,S7SU.tsv
3,1057,1263,13077,0.2789654262338348,497,494,66,0,1300,S7SU.tsv
3,1115,1285,13561,0.2892347600518807,517,515,83,0,1350,S7SU.tsv
3,1134,1305,14012,0.2896551724137931,524,523,87,0,1400,S7SU.tsv
3,1178,1339,14777,0.2932536718944486,546,545,87,0,1450,S7SU.tsv
3,1190,1372,15206,0.2891156462585034,552,551,87,0,1500,S7SU.tsv
3,1212,1397,15683,0.28919112383679313,563,562,87,0,1550,S7SU.tsv
3,1234,1425,16200,0.28865497076023394,574,573,87,0,1600,S7SU.tsv
3,1259,1442,16660,0.2910309754969949,586,586,87,0,1650,S7SU.tsv
3,1295,1479,17285,0.29186387198557584,604,603,88,0,1700,S7SU.tsv
3,1311,1516,17942,0.28825857519788917,612,611,88,0,1750,S7SU.tsv
3,1336,1535,18332,0.29011943539630836,624,624,88,0,1800,S7SU.tsv
3,1360,1560,18886,0.2905982905982906,636,636,88,0,1850,S7SU.tsv
3,1376,1574,19329,0.2914019483269801,644,644,88,0,1900,S7SU.tsv
3,1396,1606,19944,0.2897467828974678,654,654,88,0,1950,S7SU.tsv
3,1416,1646,20401,0.2867557715674362,664,664,88,0,2000,S7SU.tsv
3,1452,1685,21075,0.28724035608308607,682,682,88,0,2050,S7SU.tsv
3,1486,1708,21671,0.290007806401249,699,699,88,0,2100,S7SU.tsv
3,1502,1730,22240,0.28940269749518305,707,707,88,0,2150,S7SU.tsv
3,1514,1751,22772,0.2882162573767371,713,713,88,0,2200,S7SU.tsv
3,1528,1762,23159,0.28906545592130156,720,720,88,0,2250,S7SU.tsv
3,1550,1791,23613,0.2884794342080774,732,730,88,0,2300,S7SU.tsv
3,1556,1816,24138,0.2856093979441997,735,733,88,0,2350,S7SU.tsv
3,1588,1853,24753,0.28566288900881454,750,749,89,0,2400,S7SU.tsv
3,1612,1888,25253,0.2846045197740113,762,761,89,0,2450,S7SU.tsv
3,1628,1918,25940,0.2829336114007647,770,769,89,0,2500,S7SU.tsv
3,1640,1940,26299,0.281786941580756,776,775,89,0,2548,S7SU.tsv
