speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,76,126,267,0.20105820105820105,26,29,21,0,50,SASQ.tsv
3,188,217,662,0.2887864823348694,73,56,59,0,100,SASQ.tsv
3,271,286,1036,0.31585081585081587,102,79,90,0,150,SASQ.tsv
3,334,357,1475,0.3118580765639589,124,99,111,0,200,SASQ.tsv
3,427,439,2058,0.32422171602126043,160,124,143,0,250,SASQ.tsv
3,514,518,2829,0.3307593307593308,195,151,168,0,300,SASQ.tsv
3,579,575,3356,0.3356521739130435,211,170,198,0,350,SASQ.tsv
3,627,624,3713,0.3349358974358974,227,185,215,0,400,SASQ.tsv
3,681,686,4344,0.33090379008746357,242,201,238,0,450,SASQ.tsv
3,733,731,4935,0.3342453260373917,264,215,254,0,500,SASQ.tsv
3,778,757,5302,0.3425803610744166,277,227,274,0,550,SASQ.tsv
3,815,783,5640,0.3469561515538527,292,239,284,0,600,SASQ.tsv
3,858,809,6059,0.3535228677379481,303,260,295,0,650,SASQ.tsv
3,896,844,6374,0.353870458135861,310,278,308,0,700,SASQ.tsv
3,940,875,6786,0.3580952380952381,324,297,319,0,750,SASQ.tsv
3,967,912,7134,0.3534356725146199,329,308,330,0,800,SASQ.tsv
3,1004,938,7570,0.35678749111584934,345,321,338,0,850,SASQ.tsv
3,1004,939,7580,0.35640752573659923,345,321,338,0,851,SASQ.tsv
