speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,150,246,819,0.2032520325203252,66,34,50,0,50,SCG9.tsv
3,260,366,1611,0.23679417122040072,107,72,81,0,100,SCG9.tsv
3,359,439,2212,0.27258921791951407,144,106,109,0,150,SCG9.tsv
3,442,493,2803,0.2988505747126437,174,154,114,0,200,SCG9.tsv
3,494,548,3286,0.3004866180048662,195,179,120,0,250,SCG9.tsv
3,564,617,3937,0.3047001620745543,224,207,133,0,300,SCG9.tsv
3,600,641,4193,0.31201248049922,239,223,138,0,350,SCG9.tsv
3,633,664,4520,0.3177710843373494,251,235,147,0,400,SCG9.tsv
3,647,686,4804,0.3143828960155491,256,240,151,0,450,SCG9.tsv
3,676,714,5073,0.31559290382819793,266,249,161,0,500,SCG9.tsv
3,712,738,5397,0.3215898825654923,280,255,177,0,550,SCG9.tsv
3,741,794,5881,0.3110831234256927,293,260,188,0,600,SCG9.tsv
3,756,804,6058,0.31343283582089554,297,267,192,0,622,SCG9.tsv
