speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,98,171,383,0.19103313840155944,41,36,21,0,50,SMME.tsv
3,207,259,759,0.26640926640926643,87,48,72,0,100,SMME.tsv
3,289,358,1153,0.26908752327746743,122,65,102,0,150,SMME.tsv
3,362,428,1567,0.2819314641744548,146,83,133,0,200,SMME.tsv
3,467,510,2095,0.30522875816993467,172,127,168,0,250,SMME.tsv
3,536,609,2794,0.29337712096332785,189,146,201,0,300,SMME.tsv
3,609,698,3368,0.29083094555873923,220,152,237,0,350,SMME.tsv
3,658,758,3755,0.28935795954265614,233,170,255,0,400,SMME.tsv
3,712,815,4196,0.2912065439672802,254,181,277,0,450,SMME.tsv
3,769,883,4810,0.29029822574556435,271,198,300,0,500,SMME.tsv
3,820,997,5716,0.27415580073553997,287,207,326,0,550,SMME.tsv
3,922,1055,6622,0.2913112164296998,342,218,362,0,600,SMME.tsv
3,951,1095,7064,0.28949771689497716,356,219,376,0,650,SMME.tsv
3,989,1147,7732,0.2874164487067713,369,223,397,0,700,SMME.tsv
3,1029,1192,8262,0.287751677852349,388,226,415,0,750,SMME.tsv
3,1066,1237,8998,0.2872541094044732,404,234,428,0,800,SMME.tsv
3,1103,1271,9339,0.28927353789666926,416,249,438,0,850,SMME.tsv
3,1131,1305,9646,0.28888888888888886,425,257,449,0,900,SMME.tsv
3,1171,1331,9954,0.2932632106185825,437,273,461,0,950,SMME.tsv
3,1216,1359,10286,0.2982585234240863,452,288,476,0,1000,SMME.tsv
3,1244,1378,10663,0.30091920657958393,464,293,487,0,1050,SMME.tsv
3,1280,1408,11211,0.30303030303030304,479,303,498,0,1100,SMME.tsv
3,1309,1430,11830,0.30512820512820515,488,313,508,0,1150,SMME.tsv
3,1352,1453,12404,0.31016288139481535,503,328,521,0,1200,SMME.tsv
3,1396,1478,12866,0.31483987370320254,514,343,539,0,1250,SMME.tsv
3,1442,1504,13467,0.3195921985815603,534,353,555,0,1300,SMME.tsv
3,1485,1531,13942,0.3233180927498367,546,367,572,0,1350,SMME.tsv
3,1520,1544,14342,0.3281519861830743,558,375,587,0,1400,SMME.tsv
3,1567,1573,14758,0.33206187751642297,575,391,601,0,1450,SMME.tsv
3,1619,1603,15265,0.33666042836348514,597,403,619,0,1500,SMME.tsv
3,1668,1628,15723,0.3415233415233415,608,429,631,0,1550,SMME.tsv
3,1691,1651,16146,0.34140924692105795,615,438,638,0,1600,SMME.tsv
3,1733,1681,16594,0.3436446559587547,628,451,654,0,1650,SMME.tsv
3,1755,1705,16947,0.34310850439882695,632,461,662,0,1700,SMME.tsv
3,1794,1735,17618,0.3446685878962536,644,473,677,0,1750,SMME.tsv
3,1815,1751,17931,0.3455168475157053,652,478,685,0,1800,SMME.tsv
3,1868,1791,18380,0.3476642471617346,672,488,708,0,1850,SMME.tsv
3,1894,1825,18891,0.34593607305936075,685,490,719,0,1893,SMME.tsv
