speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,18,171,449,0.03508771929824561,5,7,6,0,50,SNG4.tsv
3,104,261,914,0.13282247765006386,8,48,48,0,100,SNG4.tsv
3,202,318,1269,0.21174004192872117,65,81,56,0,150,SNG4.tsv
3,275,391,1662,0.23444160272804773,80,103,92,0,200,SNG4.tsv
3,338,446,2008,0.2526158445440957,92,128,118,0,250,SNG4.tsv
3,377,505,2455,0.24884488448844885,98,144,135,0,300,SNG4.tsv
3,406,533,2734,0.25390869293308316,109,153,144,0,350,SNG4.tsv
3,442,577,3096,0.2553437319468515,128,164,150,0,400,SNG4.tsv
3,484,605,3380,0.26666666666666666,139,178,167,0,450,SNG4.tsv
3,521,651,3829,0.2667690732206861,156,188,177,0,500,SNG4.tsv
3,564,683,4224,0.2752562225475842,176,198,190,0,550,SNG4.tsv
3,630,710,4562,0.29577464788732394,209,215,206,0,600,SNG4.tsv
3,666,748,4888,0.2967914438502674,223,229,214,0,650,SNG4.tsv
3,713,795,5360,0.2989517819706499,242,247,224,0,700,SNG4.tsv
3,769,832,5740,0.30809294871794873,266,261,242,0,750,SNG4.tsv
3,813,859,6147,0.31548311990686845,281,275,257,0,800,SNG4.tsv
3,842,886,6563,0.31677953348382243,288,289,265,0,850,SNG4.tsv
3,874,919,6975,0.31701124410591225,300,302,272,0,900,SNG4.tsv
3,902,943,7359,0.3188405797101449,312,313,277,0,950,SNG4.tsv
3,941,965,7704,0.3250431778929188,327,330,284,0,1000,SNG4.tsv
3,967,995,8117,0.3239530988274707,332,341,294,0,1050,SNG4.tsv
3,1004,1024,8476,0.3268229166666667,343,357,304,0,1100,SNG4.tsv
3,1038,1053,8832,0.3285849952516619,358,373,307,0,1150,SNG4.tsv
3,1074,1084,9253,0.33025830258302585,371,385,318,0,1200,SNG4.tsv
3,1088,1110,9707,0.3267267267267267,379,389,320,0,1250,SNG4.tsv
3,1124,1131,10097,0.33127026230474504,392,397,335,0,1300,SNG4.tsv
3,1137,1148,10453,0.33013937282229966,395,404,338,0,1350,SNG4.tsv
3,1157,1175,10949,0.3282269503546099,405,407,345,0,1400,SNG4.tsv
3,1199,1196,11233,0.3341694537346711,421,420,358,0,1450,SNG4.tsv
3,1220,1207,11686,0.33692350179508423,430,424,366,0,1500,SNG4.tsv
3,1253,1226,12093,0.3406742794997281,443,430,380,0,1550,SNG4.tsv
3,1277,1245,12490,0.34190093708166,456,431,390,0,1600,SNG4.tsv
3,1294,1261,12832,0.3420565688606926,460,438,396,0,1650,SNG4.tsv
3,1315,1290,13365,0.3397932816537468,470,442,403,0,1700,SNG4.tsv
3,1377,1343,14065,0.34177215189873417,480,461,436,0,1750,SNG4.tsv
3,1403,1362,14490,0.3433675966715614,490,469,444,0,1800,SNG4.tsv
3,1428,1388,14825,0.34293948126801155,499,477,452,0,1850,SNG4.tsv
3,1445,1406,15227,0.34257942152678994,506,485,454,0,1900,SNG4.tsv
3,1480,1424,15642,0.3464419475655431,519,497,464,0,1950,SNG4.tsv
3,1499,1441,16081,0.3467499421697895,525,504,470,0,2000,SNG4.tsv
3,1512,1454,16461,0.3466299862448418,530,506,476,0,2050,SNG4.tsv
3,1527,1465,16766,0.34744027303754266,537,511,479,0,2099,SNG4.tsv
