speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,45,142,400,0.1056338028169014,18,19,8,0,50,SNYG.tsv
3,144,208,704,0.23076923076923078,55,47,42,0,100,SNYG.tsv
3,216,274,1086,0.26277372262773724,83,76,57,0,150,SNYG.tsv
3,269,328,1418,0.2733739837398374,104,96,69,0,200,SNYG.tsv
3,300,388,1864,0.25773195876288657,120,107,73,0,250,SNYG.tsv
3,350,442,2246,0.26395173453996984,141,130,79,0,300,SNYG.tsv
3,394,488,2651,0.2691256830601093,163,146,85,0,350,SNYG.tsv
3,419,542,3079,0.25768757687576876,175,156,88,0,400,SNYG.tsv
3,470,582,3458,0.26918671248568155,200,181,89,0,450,SNYG.tsv
3,509,618,3775,0.2745415318230852,214,196,99,0,500,SNYG.tsv
3,533,658,4219,0.27001013171225935,224,207,102,0,550,SNYG.tsv
3,573,688,4530,0.27761627906976744,244,226,103,0,600,SNYG.tsv
3,588,728,4832,0.2692307692307692,251,233,104,0,650,SNYG.tsv
3,608,745,5123,0.2720357941834452,258,244,106,0,700,SNYG.tsv
3,634,778,5510,0.27163667523564694,270,257,107,0,750,SNYG.tsv
3,652,818,5780,0.2656886715566422,274,263,115,0,800,SNYG.tsv
3,689,844,6070,0.27211690363349134,288,280,121,0,850,SNYG.tsv
3,708,875,6390,0.26971428571428574,297,289,122,0,900,SNYG.tsv
3,751,907,6746,0.27600147004777653,317,310,124,0,950,SNYG.tsv
3,783,942,7146,0.2770700636942675,333,326,124,0,1000,SNYG.tsv
3,799,971,7491,0.2742876759354617,341,333,125,0,1050,SNYG.tsv
3,805,994,7800,0.2699530516431925,344,336,125,0,1100,SNYG.tsv
3,822,1018,8044,0.2691552062868369,351,343,128,0,1150,SNYG.tsv
3,859,1038,8364,0.2758509955041747,362,356,141,0,1200,SNYG.tsv
3,893,1065,8654,0.27949921752738655,373,366,154,0,1250,SNYG.tsv
3,916,1099,8961,0.2778283287837428,384,376,156,0,1300,SNYG.tsv
3,940,1137,9284,0.2755790090882439,393,385,162,0,1350,SNYG.tsv
3,964,1158,9609,0.27748992515831894,404,395,165,0,1400,SNYG.tsv
3,992,1184,9879,0.27927927927927926,415,403,174,0,1450,SNYG.tsv
3,1008,1210,10328,0.27768595041322314,423,410,175,0,1500,SNYG.tsv
3,1023,1218,10630,0.2799671592775041,430,417,176,0,1550,SNYG.tsv
3,1047,1238,10981,0.28190630048465265,437,427,183,0,1600,SNYG.tsv
3,1067,1255,11308,0.28339973439575034,443,432,192,0,1650,SNYG.tsv
3,1079,1264,11541,0.2845464135021097,447,436,196,0,1700,SNYG.tsv
3,1105,1279,11838,0.2879854052645296,453,441,211,0,1750,SNYG.tsv
3,1145,1292,12116,0.2954076367389061,461,456,228,0,1800,SNYG.tsv
3,1169,1310,12399,0.2974554707379135,469,463,237,0,1850,SNYG.tsv
3,1208,1335,12720,0.30162297128589266,483,477,248,0,1900,SNYG.tsv
3,1224,1354,12960,0.30132939438700146,490,483,251,0,1950,SNYG.tsv
3,1246,1377,13307,0.30162188332122974,500,492,254,0,2000,SNYG.tsv
3,1271,1387,13595,0.30545541937034365,508,503,260,0,2050,SNYG.tsv
3,1302,1410,13931,0.3078014184397163,514,510,278,0,2100,SNYG.tsv
3,1314,1429,14159,0.3065080475857243,518,513,283,0,2150,SNYG.tsv
3,1349,1446,14532,0.31097279852466575,528,528,293,0,2200,SNYG.tsv
3,1376,1463,14914,0.31351105035315563,542,540,294,0,2250,SNYG.tsv
3,1394,1488,15271,0.31227598566308246,552,548,294,0,2300,SNYG.tsv
3,1415,1509,15549,0.31256903026286725,559,557,299,0,2350,SNYG.tsv
3,1447,1524,15832,0.3164916885389326,573,572,302,0,2400,SNYG.tsv
3,1466,1557,16298,0.3138514236780133,583,579,304,0,2450,SNYG.tsv
3,1482,1573,16659,0.3140495867768595,591,586,305,0,2500,SNYG.tsv
3,1510,1585,16943,0.3175604626708728,599,595,316,0,2550,SNYG.tsv
3,1521,1600,17163,0.316875,603,598,320,0,2600,SNYG.tsv
3,1529,1608,17375,0.3169568822553897,605,599,325,0,2650,SNYG.tsv
3,1546,1617,17635,0.318697175840033,608,604,334,0,2700,SNYG.tsv
3,1549,1617,17654,0.31931560502989076,609,605,335,0,2703,SNYG.tsv
