speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,118,225,733,0.1748148148148148,59,59,0,0,50,SUQM.tsv
3,204,304,1228,0.2236842105263158,102,102,0,0,100,SUQM.tsv
3,282,399,1750,0.23558897243107768,141,141,0,0,150,SUQM.tsv
3,334,500,2371,0.22266666666666668,167,167,0,0,200,SUQM.tsv
3,393,543,2761,0.24125230202578268,191,190,12,0,250,SUQM.tsv
3,468,580,3063,0.2689655172413793,203,208,57,0,300,SUQM.tsv
3,568,616,3512,0.30735930735930733,227,231,110,0,350,SUQM.tsv
3,629,650,3892,0.32256410256410256,246,244,139,0,400,SUQM.tsv
3,670,664,4194,0.33634538152610444,261,253,156,0,450,SUQM.tsv
3,705,689,4625,0.34107402031930334,279,265,161,0,500,SUQM.tsv
3,736,713,5049,0.34408602150537637,290,278,168,0,550,SUQM.tsv
3,765,746,5521,0.3418230563002681,300,284,181,0,600,SUQM.tsv
3,788,773,5974,0.3398016386373437,309,296,183,0,650,SUQM.tsv
3,811,791,6328,0.3417614833544037,318,303,190,0,700,SUQM.tsv
3,830,818,6810,0.3382233088834556,324,308,198,0,750,SUQM.tsv
3,846,844,7185,0.3341232227488152,330,315,201,0,800,SUQM.tsv
3,897,878,7656,0.34054669703872437,349,337,211,0,850,SUQM.tsv
3,920,912,8014,0.3362573099415205,359,344,217,0,900,SUQM.tsv
3,942,928,8477,0.33836206896551724,369,356,217,0,950,SUQM.tsv
3,974,949,8843,0.3421145064980681,383,372,219,0,1000,SUQM.tsv
3,1010,963,9150,0.3496019383869851,393,377,240,0,1050,SUQM.tsv
3,1048,980,9472,0.3564625850340136,404,392,252,0,1100,SUQM.tsv
3,1080,1008,9924,0.35714285714285715,412,405,263,0,1150,SUQM.tsv
3,1117,1042,10360,0.35732565579014713,430,423,264,0,1200,SUQM.tsv
3,1144,1059,10727,0.3600881334592383,439,431,274,0,1250,SUQM.tsv
3,1172,1095,11150,0.3567732115677321,448,441,283,0,1300,SUQM.tsv
3,1195,1116,11596,0.3569295101553166,457,453,285,0,1350,SUQM.tsv
3,1217,1143,12025,0.3549139690871974,467,460,290,0,1400,SUQM.tsv
3,1238,1157,12331,0.3566695476807836,476,469,293,0,1445,SUQM.tsv
