speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,46,148,343,0.1036036036036036,21,22,3,0,50,S457.tsv
3,83,236,733,0.1172316384180791,38,37,8,0,100,S457.tsv
3,143,307,1104,0.15526601520086863,55,54,34,0,150,S457.tsv
3,223,404,1950,0.183993399339934,95,85,43,0,200,S457.tsv
3,258,465,2398,0.18494623655913978,110,98,50,0,250,S457.tsv
3,279,503,2789,0.1848906560636183,118,103,58,0,300,S457.tsv
3,324,534,3192,0.20224719101123595,133,117,74,0,350,S457.tsv
3,388,580,3743,0.22298850574712645,162,133,93,0,400,S457.tsv
3,424,615,4150,0.22981029810298104,175,145,104,0,450,S457.tsv
3,453,651,4485,0.23195084485407066,186,157,110,0,500,S457.tsv
3,498,696,4928,0.23850574712643677,201,176,121,0,550,S457.tsv
3,534,731,5382,0.24350205198358413,216,185,133,0,600,S457.tsv
3,598,834,6582,0.2390087929656275,244,199,155,0,650,S457.tsv
3,627,872,6960,0.2396788990825688,253,207,167,0,700,S457.tsv
3,658,930,7552,0.23584229390681002,267,212,179,0,750,S457.tsv
3,682,953,7919,0.2385449457852396,275,222,185,0,800,S457.tsv
3,723,979,8334,0.24616956077630234,291,241,191,0,850,S457.tsv
3,783,1017,8974,0.25663716814159293,314,271,198,0,900,S457.tsv
3,814,1049,9390,0.2586590403558945,327,284,203,0,950,S457.tsv
3,838,1072,9796,0.2605721393034826,336,292,210,0,1000,S457.tsv
3,862,1106,10269,0.2597950572634117,347,303,212,0,1050,S457.tsv
3,879,1119,10572,0.26184092940125114,353,311,215,0,1100,S457.tsv
3,901,1133,10910,0.26507796410709034,363,320,218,0,1150,S457.tsv
3,917,1151,11377,0.2655661743411526,370,329,218,0,1200,S457.tsv
3,936,1173,11888,0.2659846547314578,376,337,223,0,1250,S457.tsv
3,961,1189,12079,0.2694140734510793,384,341,236,0,1271,S457.tsv
