speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,42,142,318,0.09859154929577464,10,15,17,0,50,S6AK.tsv
3,74,207,592,0.11916264090177134,19,26,29,0,100,S6AK.tsv
3,124,257,906,0.1608300907911803,34,41,49,0,150,S6AK.tsv
3,164,319,1232,0.17136886102403343,45,56,63,0,200,S6AK.tsv
3,214,380,1604,0.18771929824561404,60,75,79,0,250,S6AK.tsv
3,242,399,1858,0.202172096908939,69,89,84,0,300,S6AK.tsv
3,281,430,2115,0.2178294573643411,79,105,97,0,350,S6AK.tsv
3,321,474,2459,0.22573839662447256,100,110,111,0,400,S6AK.tsv
3,357,510,2768,0.23333333333333334,118,116,123,0,450,S6AK.tsv
3,393,529,3064,0.24763705103969755,125,131,137,0,500,S6AK.tsv
3,441,565,3433,0.26017699115044246,139,146,156,0,550,S6AK.tsv
3,470,590,3838,0.2655367231638418,143,158,169,0,600,S6AK.tsv
3,506,618,4172,0.27292340884573896,152,169,185,0,650,S6AK.tsv
3,541,657,4514,0.27447995941146625,170,173,198,0,700,S6AK.tsv
3,554,697,4865,0.2649450023912004,179,173,202,0,750,S6AK.tsv
3,581,730,5212,0.26529680365296804,191,179,211,0,800,S6AK.tsv
3,610,755,5620,0.2693156732891832,205,183,222,0,850,S6AK.tsv
3,630,775,5957,0.2709677419354839,214,187,229,0,900,S6AK.tsv
3,646,801,6280,0.2688306283811902,222,188,236,0,950,S6AK.tsv
3,676,826,6652,0.27280064568200163,233,194,249,0,1000,S6AK.tsv
3,687,839,6984,0.2729439809296782,236,197,254,0,1050,S6AK.tsv
3,711,859,7336,0.2759022118742724,248,201,262,0,1100,S6AK.tsv
3,733,907,7954,0.2693862550532892,260,203,270,0,1150,S6AK.tsv
3,764,930,8370,0.2738351254480287,275,208,281,0,1200,S6AK.tsv
3,793,948,8694,0.2788326300984529,283,218,292,0,1250,S6AK.tsv
3,809,962,8938,0.2803187803187803,290,223,296,0,1300,S6AK.tsv
3,819,974,9191,0.2802874743326489,294,226,299,0,1350,S6AK.tsv
3,846,992,9465,0.2842741935483871,306,235,305,0,1400,S6AK.tsv
3,880,1012,9861,0.2898550724637681,316,243,321,0,1450,S6AK.tsv
3,899,1026,10149,0.2920727745289149,323,249,327,0,1500,S6AK.tsv
3,921,1043,10404,0.2943432406519655,331,254,336,0,1550,S6AK.tsv
3,942,1056,10695,0.29734848484848486,337,263,342,0,1600,S6AK.tsv
3,956,1073,10982,0.296986641814228,344,263,349,0,1650,S6AK.tsv
3,967,1094,11451,0.2946374162096283,350,265,352,0,1700,S6AK.tsv
3,991,1113,11844,0.296795447738844,360,268,363,0,1750,S6AK.tsv
3,1020,1157,12398,0.2938634399308557,374,272,374,0,1800,S6AK.tsv
3,1042,1173,12884,0.29610684853651603,386,272,384,0,1850,S6AK.tsv
3,1053,1190,13304,0.2949579831932773,391,274,388,0,1900,S6AK.tsv
3,1075,1214,13674,0.29516749038989565,402,275,398,0,1950,S6AK.tsv
3,1088,1229,13981,0.29509085977759697,408,276,404,0,2000,S6AK.tsv
3,1106,1246,14304,0.2958801498127341,415,283,408,0,2050,S6AK.tsv
3,1114,1256,14561,0.2956475583864119,418,284,412,0,2100,S6AK.tsv
3,1120,1265,14826,0.2951251646903821,421,285,414,0,2150,S6AK.tsv
3,1125,1274,14983,0.2943485086342229,424,285,416,0,2176,S6AK.tsv
