speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,41,147,391,0.09297052154195011,5,18,18,0,50,SDHB.tsv
3,70,193,673,0.12089810017271158,14,28,28,0,100,SDHB.tsv
3,123,247,999,0.1659919028340081,30,46,47,0,150,SDHB.tsv
3,152,297,1270,0.17059483726150393,41,55,56,0,200,SDHB.tsv
3,182,330,1528,0.18383838383838383,46,67,69,0,250,SDHB.tsv
3,205,393,1957,0.17387616624257846,48,76,81,0,300,SDHB.tsv
3,235,427,2229,0.1834504293520687,51,90,94,0,350,SDHB.tsv
3,247,466,2566,0.17668097281831188,51,97,99,0,400,SDHB.tsv
3,255,494,2850,0.1720647773279352,52,101,102,0,450,SDHB.tsv
3,274,514,3113,0.17769130998702984,57,108,109,0,500,SDHB.tsv
3,289,533,3416,0.1807379612257661,58,116,115,0,550,SDHB.tsv
3,306,563,3753,0.1811722912966252,59,124,123,0,600,SDHB.tsv
3,338,585,4053,0.1925925925925926,62,138,138,0,650,SDHB.tsv
3,365,605,4311,0.20110192837465565,69,148,148,0,700,SDHB.tsv
3,386,632,4597,0.20358649789029537,73,158,155,0,750,SDHB.tsv
3,414,660,4938,0.20909090909090908,80,168,166,0,800,SDHB.tsv
3,458,694,5316,0.21998078770413065,89,186,183,0,850,SDHB.tsv
3,469,731,5729,0.2138622891016872,91,191,187,0,900,SDHB.tsv
3,486,745,5979,0.2174496644295302,94,196,196,0,950,SDHB.tsv
3,509,777,6345,0.21836121836121836,96,207,206,0,1000,SDHB.tsv
3,526,809,6714,0.21672847136382364,97,216,213,0,1050,SDHB.tsv
3,560,830,6998,0.2248995983935743,97,233,230,0,1100,SDHB.tsv
3,576,854,7300,0.22482435597189696,97,241,238,0,1150,SDHB.tsv
3,599,878,7615,0.22741078208048596,101,251,247,0,1200,SDHB.tsv
3,630,899,7931,0.2335928809788654,111,261,258,0,1250,SDHB.tsv
3,637,913,8221,0.2325666301569916,113,264,260,0,1300,SDHB.tsv
3,651,942,8660,0.23036093418259024,114,271,266,0,1350,SDHB.tsv
3,683,957,8939,0.23789620341344478,125,281,277,0,1400,SDHB.tsv
3,702,973,9223,0.24049331963001028,129,287,286,0,1450,SDHB.tsv
3,731,1001,9653,0.24342324342324342,132,300,299,0,1500,SDHB.tsv
3,762,1015,9984,0.25024630541871923,143,311,308,0,1550,SDHB.tsv
3,792,1038,10391,0.2543352601156069,151,324,317,0,1600,SDHB.tsv
3,813,1066,10731,0.25422138836772984,156,333,324,0,1650,SDHB.tsv
3,826,1097,11202,0.2509875417806138,157,340,329,0,1700,SDHB.tsv
3,847,1119,11563,0.2523086088769735,159,349,339,0,1750,SDHB.tsv
3,859,1138,11876,0.2516110134739309,159,355,345,0,1800,SDHB.tsv
3,882,1150,12134,0.25565217391304346,162,364,356,0,1850,SDHB.tsv
3,898,1181,12487,0.25345752187411796,168,368,362,0,1900,SDHB.tsv
3,912,1198,12844,0.25375626043405675,168,376,368,0,1950,SDHB.tsv
3,953,1227,13187,0.2588970388481391,171,395,387,0,2000,SDHB.tsv
3,971,1253,13509,0.25831338121840913,174,402,395,0,2050,SDHB.tsv
3,1000,1274,13845,0.2616431187859759,189,411,400,0,2100,SDHB.tsv
3,1014,1291,14108,0.2618125484120837,192,417,405,0,2150,SDHB.tsv
3,1041,1311,14467,0.2646834477498093,193,429,419,0,2200,SDHB.tsv
3,1066,1333,14856,0.2665666416604151,195,439,432,0,2250,SDHB.tsv
3,1079,1349,15101,0.2666172473437114,199,445,435,0,2300,SDHB.tsv
3,1088,1362,15409,0.26627508565834557,200,449,439,0,2350,SDHB.tsv
3,1100,1375,15738,0.26666666666666666,200,455,445,0,2400,SDHB.tsv
3,1110,1397,16081,0.2648532569792412,203,459,448,0,2450,SDHB.tsv
3,1122,1417,16487,0.2639378969654199,206,464,452,0,2500,SDHB.tsv
3,1135,1430,16761,0.26456876456876455,206,470,459,0,2550,SDHB.tsv
3,1149,1440,17040,0.2659722222222222,210,476,463,0,2600,SDHB.tsv
3,1166,1461,17323,0.26602783481633585,217,482,467,0,2650,SDHB.tsv
3,1177,1474,17605,0.26616915422885573,218,487,472,0,2700,SDHB.tsv
3,1183,1490,17911,0.2646532438478747,220,489,474,0,2750,SDHB.tsv
3,1187,1508,18141,0.2623784261715296,224,489,474,0,2800,SDHB.tsv
3,1206,1523,18424,0.2639527248850952,230,493,483,0,2850,SDHB.tsv
3,1221,1533,18708,0.2654924983692107,234,497,490,0,2900,SDHB.tsv
3,1230,1544,18925,0.2655440414507772,235,501,494,0,2950,SDHB.tsv
3,1250,1564,19197,0.26641091219096336,249,505,496,0,3000,SDHB.tsv
3,1264,1568,19498,0.2687074829931973,255,509,500,0,3050,SDHB.tsv
3,1277,1579,19727,0.2695799028921258,257,515,505,0,3100,SDHB.tsv
3,1293,1592,19976,0.2707286432160804,258,523,512,0,3150,SDHB.tsv
3,1308,1606,20320,0.2714819427148194,261,529,518,0,3200,SDHB.tsv
3,1324,1619,20662,0.2725962528309656,266,535,523,0,3250,SDHB.tsv
3,1334,1631,21002,0.2726343756386675,267,539,528,0,3300,SDHB.tsv
3,1342,1644,21299,0.27210056772100566,268,541,533,0,3350,SDHB.tsv
3,1356,1654,21570,0.27327690447400244,272,545,539,0,3400,SDHB.tsv
3,1366,1665,21773,0.27347347347347345,276,549,541,0,3438,SDHB.tsv
