speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,65,180,533,0.12037037037037036,29,22,14,0,50,SDQ8.tsv
3,128,252,883,0.1693121693121693,57,27,44,0,100,SDQ8.tsv
3,184,319,1316,0.1922675026123302,81,43,60,0,150,SDQ8.tsv
3,237,368,1794,0.21467391304347827,102,53,82,0,200,SDQ8.tsv
3,275,409,2148,0.2241238793806031,116,72,87,0,250,SDQ8.tsv
3,312,460,2590,0.22608695652173913,132,78,102,0,300,SDQ8.tsv
3,374,540,3235,0.2308641975308642,159,97,118,0,350,SDQ8.tsv
3,411,580,3610,0.23620689655172414,176,112,123,0,400,SDQ8.tsv
3,437,617,4090,0.2360886007563479,187,120,130,0,450,SDQ8.tsv
3,473,670,4518,0.23532338308457712,204,132,137,0,500,SDQ8.tsv
3,509,731,5099,0.23210214318285455,221,145,143,0,550,SDQ8.tsv
3,535,769,5391,0.23190290420459472,232,153,150,0,600,SDQ8.tsv
3,566,796,5621,0.2370184254606365,242,166,158,0,643,SDQ8.tsv
