speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,67,167,379,0.13373253493013973,28,27,12,0,50,S8W2.tsv
3,69,157,358,0.1464968152866242,30,28,11,50,100,S8W2.tsv
3,106,158,388,0.22362869198312235,37,40,29,100,150,S8W2.tsv
3,95,127,259,0.24934383202099739,34,25,36,150,200,S8W2.tsv
3,115,166,475,0.23092369477911648,44,43,28,200,250,S8W2.tsv
3,93,136,360,0.22794117647058823,42,40,11,250,300,S8W2.tsv
3,83,161,506,0.17184265010351968,34,31,18,300,350,S8W2.tsv
3,62,127,263,0.16272965879265092,24,22,16,350,400,S8W2.tsv
3,90,152,352,0.19736842105263158,40,33,17,400,450,S8W2.tsv
3,103,140,313,0.24523809523809523,39,31,33,450,500,S8W2.tsv
3,108,150,342,0.24,33,37,38,500,550,S8W2.tsv
3,87,130,297,0.2230769230769231,38,23,26,550,599,S8W2.tsv
