speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,105,222,620,0.15765765765765766,50,52,3,0,50,SHZP.tsv
3,62,144,342,0.14351851851851852,25,28,9,50,100,SHZP.tsv
3,81,113,287,0.23893805309734514,22,28,31,100,150,SHZP.tsv
3,85,146,353,0.19406392694063926,21,36,28,150,200,SHZP.tsv
3,82,124,277,0.22043010752688172,34,32,16,200,250,SHZP.tsv
3,62,165,431,0.12525252525252525,30,30,2,250,300,SHZP.tsv
3,75,145,375,0.1724137931034483,24,31,20,300,350,SHZP.tsv
3,71,104,288,0.22756410256410256,33,32,6,350,400,SHZP.tsv
3,46,119,255,0.12885154061624648,15,20,11,400,450,SHZP.tsv
3,80,172,411,0.15503875968992248,38,39,3,450,500,SHZP.tsv
3,49,156,339,0.1047008547008547,22,20,7,500,550,SHZP.tsv
3,75,135,288,0.18518518518518517,33,14,28,550,600,SHZP.tsv
3,83,136,346,0.2034313725490196,30,37,16,600,650,SHZP.tsv
3,12,46,74,0.08695652173913043,5,5,2,650,668,SHZP.tsv
