speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,75,144,288,0.1736111111111111,30,34,11,0,50,SM6Y.tsv
3,106,160,406,0.22083333333333333,48,44,14,50,100,SM6Y.tsv
3,101,159,386,0.21174004192872117,44,42,15,100,150,SM6Y.tsv
3,61,137,257,0.14841849148418493,25,22,14,150,200,SM6Y.tsv
3,90,148,299,0.20270270270270271,42,42,6,200,250,SM6Y.tsv
3,120,158,364,0.25316455696202533,50,50,20,250,300,SM6Y.tsv
3,65,139,351,0.15587529976019185,32,27,6,300,350,SM6Y.tsv
3,86,128,299,0.22395833333333334,37,41,8,350,400,SM6Y.tsv
3,91,145,326,0.20919540229885059,44,42,5,400,450,SM6Y.tsv
3,74,147,355,0.16780045351473924,37,37,0,450,500,SM6Y.tsv
3,80,144,422,0.18518518518518517,40,40,0,500,550,SM6Y.tsv
3,80,150,336,0.17777777777777778,40,40,0,550,600,SM6Y.tsv
3,56,144,309,0.12962962962962962,28,28,0,600,650,SM6Y.tsv
3,72,167,375,0.1437125748502994,36,36,0,650,700,SM6Y.tsv
3,32,82,133,0.13008130081300814,16,16,0,700,730,SM6Y.tsv
