speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,101,144,387,0.2337962962962963,39,46,16,0,50,SQVW.tsv
3,105,170,403,0.20588235294117646,40,44,21,50,100,SQVW.tsv
3,112,149,327,0.2505592841163311,46,46,20,100,150,SQVW.tsv
3,80,140,367,0.19047619047619047,40,40,0,150,200,SQVW.tsv
3,89,138,289,0.21497584541062803,42,41,6,200,250,SQVW.tsv
3,101,150,347,0.22444444444444445,43,46,12,250,300,SQVW.tsv
3,83,129,269,0.2144702842377261,31,35,17,300,350,SQVW.tsv
3,69,132,270,0.17424242424242425,28,27,14,350,400,SQVW.tsv
3,89,133,340,0.22305764411027568,39,15,35,400,450,SQVW.tsv
3,128,137,393,0.31143552311435524,40,49,39,450,500,SQVW.tsv
3,78,116,270,0.22413793103448276,28,30,20,500,550,SQVW.tsv
3,56,129,320,0.14470284237726097,28,28,0,550,600,SQVW.tsv
3,86,149,388,0.19239373601789708,39,33,14,600,650,SQVW.tsv
3,94,171,435,0.18323586744639375,47,47,0,650,700,SQVW.tsv
3,117,155,387,0.25161290322580643,50,46,21,700,750,SQVW.tsv
3,117,185,427,0.21081081081081082,47,42,28,750,800,SQVW.tsv
3,124,177,456,0.2335216572504708,57,59,8,800,850,SQVW.tsv
3,114,147,387,0.2585034013605442,47,49,18,850,900,SQVW.tsv
3,69,153,384,0.1503267973856209,29,29,11,900,950,SQVW.tsv
3,61,132,291,0.15404040404040403,30,29,2,950,1000,SQVW.tsv
3,61,127,279,0.16010498687664043,29,23,9,1000,1050,SQVW.tsv
3,23,28,52,0.27380952380952384,11,3,9,1050,1062,SQVW.tsv
