speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,130,250,706,0.17333333333333334,65,65,0,0,50,STSS.tsv
3,100,174,469,0.19157088122605365,50,50,0,50,100,STSS.tsv
3,92,148,351,0.2072072072072072,46,46,0,100,150,STSS.tsv
3,112,198,496,0.18855218855218855,56,56,0,150,200,STSS.tsv
3,120,220,560,0.18181818181818182,60,60,0,200,250,STSS.tsv
3,132,186,490,0.23655913978494625,66,66,0,250,300,STSS.tsv
3,124,219,602,0.1887366818873668,62,62,0,300,350,STSS.tsv
3,92,172,436,0.17829457364341086,46,46,0,350,400,STSS.tsv
3,144,219,511,0.2191780821917808,59,59,26,400,450,STSS.tsv
3,130,217,573,0.19969278033794163,52,58,20,450,500,STSS.tsv
3,94,220,547,0.14242424242424243,47,47,0,500,550,STSS.tsv
3,122,189,503,0.21516754850088182,61,61,0,550,600,STSS.tsv
3,105,152,374,0.23026315789473684,45,44,16,600,650,STSS.tsv
3,104,190,446,0.1824561403508772,46,48,10,650,700,STSS.tsv
3,114,204,512,0.18627450980392157,57,57,0,700,750,STSS.tsv
3,122,170,456,0.23921568627450981,61,61,0,750,800,STSS.tsv
3,88,169,418,0.17357001972386588,44,44,0,800,850,STSS.tsv
3,136,198,593,0.22895622895622897,68,68,0,850,900,STSS.tsv
3,105,148,301,0.23648648648648649,29,40,36,900,950,STSS.tsv
3,76,138,286,0.18357487922705315,24,27,25,950,1000,STSS.tsv
3,110,129,295,0.2842377260981912,43,37,30,1000,1050,STSS.tsv
3,96,192,366,0.16666666666666666,48,48,0,1050,1100,STSS.tsv
3,102,187,483,0.18181818181818182,51,51,0,1100,1150,STSS.tsv
3,122,198,534,0.2053872053872054,61,61,0,1150,1200,STSS.tsv
3,86,162,384,0.17695473251028807,43,43,0,1200,1250,STSS.tsv
3,130,218,637,0.19877675840978593,65,65,0,1250,1300,STSS.tsv
3,70,199,447,0.11725293132328309,35,35,0,1300,1350,STSS.tsv
3,112,208,722,0.1794871794871795,56,56,0,1350,1400,STSS.tsv
3,110,185,466,0.1981981981981982,55,55,0,1400,1450,STSS.tsv
3,104,195,604,0.17777777777777778,52,52,0,1450,1500,STSS.tsv
3,96,148,367,0.21621621621621623,48,48,0,1500,1550,STSS.tsv
3,86,165,351,0.17373737373737375,43,43,0,1550,1600,STSS.tsv
3,70,190,484,0.12280701754385964,35,35,0,1600,1650,STSS.tsv
3,114,187,471,0.20320855614973263,57,57,0,1650,1700,STSS.tsv
3,80,172,372,0.15503875968992248,40,40,0,1700,1750,STSS.tsv
3,120,219,509,0.182648401826484,60,60,0,1750,1800,STSS.tsv
3,122,210,512,0.19365079365079366,61,61,0,1800,1850,STSS.tsv
3,106,198,516,0.17845117845117844,53,53,0,1850,1900,STSS.tsv
3,124,264,678,0.15656565656565657,62,62,0,1900,1950,STSS.tsv
3,106,178,358,0.19850187265917604,53,53,0,1950,2000,STSS.tsv
3,98,208,552,0.15705128205128205,49,49,0,2000,2050,STSS.tsv
3,114,239,646,0.1589958158995816,57,57,0,2050,2100,STSS.tsv
3,88,188,452,0.15602836879432624,44,44,0,2100,2150,STSS.tsv
3,92,179,434,0.1713221601489758,46,46,0,2150,2200,STSS.tsv
3,92,185,430,0.16576576576576577,46,46,0,2200,2250,STSS.tsv
3,112,188,471,0.19858156028368795,56,56,0,2250,2300,STSS.tsv
3,108,204,490,0.17647058823529413,54,54,0,2300,2350,STSS.tsv
3,110,190,480,0.19298245614035087,55,55,0,2350,2400,STSS.tsv
3,124,207,510,0.1996779388083736,62,62,0,2400,2450,STSS.tsv
3,42,71,126,0.19718309859154928,21,21,0,2450,2466,STSS.tsv
