speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,183,263,984,0.17395437262357413,47,61,68,7,0,50,SDA8.tsv
4,311,329,1351,0.23632218844984804,84,70,112,45,0,100,SDA8.tsv
4,380,421,1833,0.22565320665083136,102,81,137,60,0,150,SDA8.tsv
4,463,475,2205,0.24368421052631578,119,107,162,75,0,200,SDA8.tsv
4,555,532,2692,0.2608082706766917,147,117,191,100,0,250,SDA8.tsv
4,634,595,3196,0.26638655462184874,154,132,214,134,0,300,SDA8.tsv
4,745,684,4050,0.2722953216374269,161,188,244,152,0,350,SDA8.tsv
4,797,716,4483,0.2782821229050279,163,196,253,185,0,400,SDA8.tsv
4,875,767,5121,0.28520208604954367,184,218,262,211,0,450,SDA8.tsv
4,939,821,5863,0.285931790499391,199,238,276,226,0,500,SDA8.tsv
4,997,874,6518,0.28518306636155605,206,250,284,257,0,550,SDA8.tsv
4,1037,917,7129,0.28271537622682663,207,261,293,276,0,600,SDA8.tsv
4,1075,938,7414,0.2865138592750533,209,271,304,291,0,650,SDA8.tsv
4,1119,973,7836,0.2875128468653648,215,288,312,304,0,700,SDA8.tsv
4,1161,1005,8132,0.28880597014925374,231,296,320,314,0,750,SDA8.tsv
4,1214,1046,8533,0.2901529636711281,241,306,336,331,0,800,SDA8.tsv
4,1214,1049,8548,0.2893231649189704,241,306,336,331,0,807,SDA8.tsv
