speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,99,174,466,0.14224137931034483,45,29,25,0,0,50,SJFG.tsv
4,166,271,998,0.15313653136531366,69,59,38,0,0,100,SJFG.tsv
4,217,350,1480,0.155,88,69,60,0,0,150,SJFG.tsv
4,295,386,1823,0.19106217616580312,112,87,96,0,0,200,SJFG.tsv
4,376,454,2276,0.20704845814977973,143,107,126,0,0,250,SJFG.tsv
4,447,513,2734,0.21783625730994152,160,124,144,19,0,300,SJFG.tsv
4,549,538,3144,0.25511152416356875,175,139,160,75,0,350,SJFG.tsv
4,613,583,3568,0.26286449399656947,189,154,169,101,0,400,SJFG.tsv
4,707,637,4091,0.2774725274725275,214,160,198,135,0,450,SJFG.tsv
4,791,695,4839,0.2845323741007194,233,177,238,143,0,500,SJFG.tsv
4,866,723,5315,0.2994467496542185,258,190,251,167,0,550,SJFG.tsv
4,882,729,5397,0.30246913580246915,262,191,253,176,0,558,SJFG.tsv
