speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,34,129,286,0.06589147286821706,11,8,8,7,0,50,SCP7.tsv
4,76,189,550,0.10052910052910052,22,22,16,16,0,100,SCP7.tsv
4,113,227,715,0.12444933920704845,32,29,29,23,0,150,SCP7.tsv
4,157,265,904,0.1481132075471698,44,41,37,35,0,200,SCP7.tsv
4,192,311,1200,0.15434083601286175,56,52,40,44,0,250,SCP7.tsv
4,246,352,1430,0.1747159090909091,72,68,46,60,0,300,SCP7.tsv
4,283,386,1670,0.18329015544041452,85,73,58,67,0,350,SCP7.tsv
4,316,420,1853,0.1880952380952381,92,82,66,76,0,400,SCP7.tsv
4,351,453,2090,0.19370860927152317,103,90,75,83,0,450,SCP7.tsv
4,398,498,2383,0.19979919678714858,120,99,79,100,0,500,SCP7.tsv
4,427,518,2601,0.20608108108108109,127,106,87,107,0,550,SCP7.tsv
4,448,544,2871,0.20588235294117646,133,110,93,112,0,600,SCP7.tsv
4,477,566,3092,0.21068904593639576,140,115,102,120,0,650,SCP7.tsv
4,495,601,3361,0.20590682196339435,148,117,107,123,0,700,SCP7.tsv
4,516,621,3589,0.20772946859903382,156,118,113,129,0,750,SCP7.tsv
4,550,654,3880,0.21024464831804282,171,119,122,138,0,800,SCP7.tsv
4,576,672,4079,0.21428571428571427,181,120,131,144,0,850,SCP7.tsv
4,600,697,4277,0.2152080344332855,187,127,136,150,0,900,SCP7.tsv
4,629,740,4732,0.2125,196,135,139,159,0,950,SCP7.tsv
4,633,743,4773,0.2129878869448183,197,135,140,161,0,959,SCP7.tsv
