speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,28,131,300,0.05343511450381679,5,6,11,6,0,50,SCZV.tsv
4,55,185,569,0.07432432432432433,13,10,18,14,0,100,SCZV.tsv
4,86,240,834,0.08958333333333333,22,13,29,22,0,150,SCZV.tsv
4,146,286,1132,0.12762237762237763,28,24,51,43,0,200,SCZV.tsv
4,188,331,1371,0.1419939577039275,37,36,63,52,0,250,SCZV.tsv
4,231,386,1710,0.14961139896373057,46,42,81,62,0,300,SCZV.tsv
4,272,418,1984,0.16267942583732056,60,47,93,72,0,350,SCZV.tsv
4,305,447,2243,0.17058165548098433,62,60,104,79,0,400,SCZV.tsv
4,338,484,2465,0.17458677685950413,71,67,111,89,0,450,SCZV.tsv
4,380,536,2829,0.17723880597014927,82,80,128,90,0,500,SCZV.tsv
4,419,569,3084,0.18409490333919157,86,97,145,91,0,550,SCZV.tsv
4,461,594,3399,0.19402356902356901,100,105,160,96,0,600,SCZV.tsv
4,474,618,3686,0.19174757281553398,101,111,166,96,0,650,SCZV.tsv
4,494,642,3925,0.1923676012461059,104,116,173,101,0,700,SCZV.tsv
4,519,663,4136,0.19570135746606335,105,128,181,105,0,750,SCZV.tsv
4,543,686,4355,0.19788629737609328,113,131,187,112,0,800,SCZV.tsv
4,567,712,4622,0.1990870786516854,113,137,197,120,0,850,SCZV.tsv
4,599,729,4833,0.20541838134430726,113,146,209,131,0,900,SCZV.tsv
4,633,746,5110,0.2121313672922252,118,153,221,141,0,950,SCZV.tsv
4,663,766,5438,0.21638381201044388,119,161,227,156,0,1000,SCZV.tsv
4,698,791,5707,0.22060682680151708,131,163,237,167,0,1050,SCZV.tsv
4,725,815,5951,0.2223926380368098,143,165,244,173,0,1100,SCZV.tsv
4,744,828,6171,0.2246376811594203,144,168,250,182,0,1150,SCZV.tsv
4,768,844,6399,0.22748815165876776,146,175,255,192,0,1200,SCZV.tsv
4,786,856,6551,0.22955607476635514,149,177,263,197,0,1234,SCZV.tsv
