speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,49,183,590,0.06693989071038252,24,24,1,0,0,50,SH4V.tsv
4,97,258,961,0.0939922480620155,43,43,11,0,0,100,SH4V.tsv
4,148,309,1230,0.11974110032362459,61,56,27,4,0,150,SH4V.tsv
4,200,358,1579,0.13966480446927373,80,75,41,4,0,200,SH4V.tsv
4,234,388,1841,0.15077319587628865,90,85,55,4,0,250,SH4V.tsv
4,265,421,2099,0.15736342042755344,99,97,65,4,0,300,SH4V.tsv
4,300,464,2388,0.16163793103448276,113,107,76,4,0,350,SH4V.tsv
4,334,504,2719,0.16567460317460317,124,118,88,4,0,400,SH4V.tsv
4,362,536,3004,0.16884328358208955,136,129,93,4,0,450,SH4V.tsv
4,395,586,3343,0.16851535836177475,147,142,102,4,0,500,SH4V.tsv
4,431,618,3590,0.17435275080906149,164,160,103,4,0,550,SH4V.tsv
4,469,649,3824,0.18066255778120185,178,170,109,12,0,600,SH4V.tsv
4,532,677,4168,0.1964549483013294,192,177,117,46,0,650,SH4V.tsv
4,585,715,4597,0.20454545454545456,199,192,126,68,0,700,SH4V.tsv
4,665,767,5209,0.2167535853976532,215,205,133,112,0,750,SH4V.tsv
4,725,845,5945,0.21449704142011836,228,212,140,145,0,800,SH4V.tsv
4,738,873,6298,0.211340206185567,232,212,140,154,0,850,SH4V.tsv
4,789,933,6822,0.21141479099678456,248,217,143,181,0,900,SH4V.tsv
4,830,962,7278,0.2156964656964657,257,228,149,196,0,950,SH4V.tsv
4,872,995,7701,0.21909547738693466,267,235,156,214,0,1000,SH4V.tsv
4,918,1023,8137,0.22434017595307917,284,242,161,231,0,1050,SH4V.tsv
4,962,1051,8517,0.22882968601332065,296,259,164,243,0,1100,SH4V.tsv
4,999,1089,8954,0.22933884297520662,311,261,165,262,0,1150,SH4V.tsv
4,1036,1131,9469,0.22900088417329797,325,268,170,273,0,1200,SH4V.tsv
4,1072,1162,9868,0.2306368330464716,336,274,178,284,0,1250,SH4V.tsv
4,1116,1207,10428,0.2311516155758078,353,287,185,291,0,1300,SH4V.tsv
4,1142,1232,10810,0.231737012987013,361,293,187,301,0,1350,SH4V.tsv
4,1183,1250,11270,0.2366,376,298,192,317,0,1400,SH4V.tsv
4,1215,1286,11883,0.23619751166407466,385,300,195,335,0,1450,SH4V.tsv
4,1243,1314,12472,0.2364916286149163,398,301,198,346,0,1500,SH4V.tsv
4,1281,1338,12960,0.23934977578475336,412,301,208,360,0,1548,SH4V.tsv
