speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,57,170,372,0.0838235294117647,17,13,19,8,0,50,SLJW.tsv
4,98,211,535,0.11611374407582939,27,17,33,21,0,100,SLJW.tsv
4,135,256,739,0.1318359375,35,23,44,33,0,150,SLJW.tsv
4,179,315,1007,0.14206349206349206,47,33,53,46,0,200,SLJW.tsv
4,214,355,1238,0.15070422535211267,57,44,61,52,0,250,SLJW.tsv
4,262,412,1552,0.15898058252427186,75,49,72,66,0,300,SLJW.tsv
4,313,462,1928,0.16937229437229437,90,64,87,72,0,350,SLJW.tsv
4,346,507,2260,0.17061143984220908,101,70,96,79,0,400,SLJW.tsv
4,425,586,2828,0.18131399317406144,109,99,108,109,0,450,SLJW.tsv
4,492,663,3360,0.18552036199095023,116,128,115,133,0,500,SLJW.tsv
4,527,693,3694,0.19011544011544013,121,140,131,135,0,550,SLJW.tsv
4,565,721,3995,0.19590846047156726,127,150,146,142,0,600,SLJW.tsv
4,595,760,4297,0.19572368421052633,135,160,156,144,0,650,SLJW.tsv
4,634,792,4579,0.20012626262626262,146,174,162,152,0,700,SLJW.tsv
4,671,821,4850,0.20432399512789282,151,183,176,161,0,750,SLJW.tsv
4,709,839,5106,0.21126340882002384,157,192,188,172,0,800,SLJW.tsv
4,747,891,5425,0.20959595959595959,167,201,199,180,0,850,SLJW.tsv
4,771,915,5705,0.21065573770491802,174,209,204,184,0,900,SLJW.tsv
4,819,944,6008,0.21689618644067796,184,220,220,195,0,950,SLJW.tsv
4,860,978,6331,0.2198364008179959,194,229,237,200,0,1000,SLJW.tsv
4,894,996,6595,0.22439759036144577,201,236,250,207,0,1050,SLJW.tsv
4,911,1016,6866,0.22416338582677164,204,240,256,211,0,1100,SLJW.tsv
4,964,1052,7220,0.22908745247148288,214,261,273,216,0,1150,SLJW.tsv
4,1003,1068,7431,0.23478464419475656,228,269,287,219,0,1200,SLJW.tsv
4,1028,1081,7692,0.23774283071230343,234,277,293,224,0,1250,SLJW.tsv
4,1032,1088,7738,0.23713235294117646,234,279,294,225,0,1258,SLJW.tsv
