speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,28,116,236,0.0603448275862069,6,2,9,11,0,50,SVD4.tsv
4,61,183,506,0.08333333333333333,16,6,19,20,0,100,SVD4.tsv
4,98,264,816,0.0928030303030303,24,15,30,29,0,150,SVD4.tsv
4,155,312,1121,0.12419871794871795,44,23,52,36,0,200,SVD4.tsv
4,200,380,1488,0.13157894736842105,50,28,70,52,0,250,SVD4.tsv
4,253,434,1774,0.14573732718894009,66,34,84,69,0,300,SVD4.tsv
4,312,486,2145,0.16049382716049382,87,46,102,77,0,350,SVD4.tsv
4,373,540,2594,0.1726851851851852,110,51,120,92,0,400,SVD4.tsv
4,406,583,2866,0.17409948542024015,118,58,129,101,0,450,SVD4.tsv
4,463,616,3203,0.18790584415584416,130,78,140,115,0,500,SVD4.tsv
4,524,671,3690,0.19523099850968703,137,83,168,136,0,550,SVD4.tsv
4,584,710,4155,0.2056338028169014,152,93,187,152,0,600,SVD4.tsv
4,629,745,4552,0.2110738255033557,165,103,200,161,0,650,SVD4.tsv
4,676,774,4925,0.21834625322997417,178,116,210,172,0,700,SVD4.tsv
4,715,795,5212,0.2248427672955975,186,127,218,184,0,750,SVD4.tsv
4,748,827,5570,0.22611850060459493,199,131,227,191,0,800,SVD4.tsv
4,777,872,5944,0.2227637614678899,208,139,235,195,0,850,SVD4.tsv
4,827,926,6485,0.22327213822894168,221,146,254,206,0,900,SVD4.tsv
4,859,967,6853,0.22207859358841778,229,149,267,214,0,950,SVD4.tsv
4,890,1000,7233,0.2225,238,152,279,221,0,1000,SVD4.tsv
4,925,1027,7610,0.22517039922103213,248,164,286,227,0,1050,SVD4.tsv
4,972,1087,8206,0.22355105795768168,270,170,295,237,0,1100,SVD4.tsv
4,976,1093,8327,0.2232387923147301,272,170,296,238,0,1118,SVD4.tsv
