speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,104,152,342,0.17105263157894737,30,20,35,19,0,50,S23A.tsv
4,104,179,426,0.1452513966480447,42,8,41,13,50,100,S23A.tsv
4,129,188,462,0.17154255319148937,35,3,40,51,100,150,S23A.tsv
4,111,147,364,0.18877551020408162,47,22,0,42,150,200,S23A.tsv
4,134,163,377,0.20552147239263804,30,26,41,37,200,250,S23A.tsv
4,118,169,391,0.17455621301775148,38,16,40,24,250,300,S23A.tsv
4,115,137,290,0.20985401459854014,36,23,28,28,300,350,S23A.tsv
4,116,150,390,0.19333333333333333,21,27,25,43,350,400,S23A.tsv
4,149,173,458,0.2153179190751445,54,30,43,22,400,450,S23A.tsv
4,150,147,390,0.25510204081632654,48,36,21,45,450,500,S23A.tsv
4,134,180,416,0.18611111111111112,46,32,22,34,500,550,S23A.tsv
4,120,145,369,0.20689655172413793,38,25,20,37,550,600,S23A.tsv
4,93,154,351,0.15097402597402598,32,11,30,20,600,650,S23A.tsv
4,95,126,282,0.1884920634920635,27,18,24,26,650,700,S23A.tsv
4,78,119,248,0.1638655462184874,19,22,18,19,700,750,S23A.tsv
4,95,113,294,0.21017699115044247,31,23,23,18,750,800,S23A.tsv
4,132,149,372,0.2214765100671141,32,39,37,24,800,850,S23A.tsv
4,142,169,424,0.21005917159763313,45,22,49,26,850,900,S23A.tsv
4,113,152,393,0.18585526315789475,39,14,38,22,900,950,S23A.tsv
4,72,121,272,0.1487603305785124,13,6,26,27,950,1000,S23A.tsv
4,83,130,276,0.1596153846153846,21,22,34,6,1000,1050,S23A.tsv
4,134,154,402,0.21753246753246752,44,27,20,43,1050,1100,S23A.tsv
4,98,120,256,0.20416666666666666,24,19,17,38,1100,1150,S23A.tsv
4,72,118,233,0.15254237288135594,23,9,12,28,1150,1200,S23A.tsv
4,113,106,254,0.2665094339622642,27,26,31,29,1200,1250,S23A.tsv
4,91,101,214,0.22524752475247525,21,17,28,25,1250,1300,S23A.tsv
4,107,131,284,0.20419847328244276,20,32,31,24,1300,1350,S23A.tsv
4,81,137,287,0.1478102189781022,20,4,28,29,1350,1400,S23A.tsv
4,88,113,237,0.19469026548672566,31,12,21,24,1400,1450,S23A.tsv
4,76,139,285,0.1366906474820144,29,1,13,33,1450,1500,S23A.tsv
4,105,155,356,0.1693548387096774,30,12,23,40,1500,1550,S23A.tsv
4,96,149,353,0.1610738255033557,41,1,11,43,1550,1600,S23A.tsv
4,132,160,390,0.20625,37,22,33,40,1600,1650,S23A.tsv
4,141,157,400,0.22452229299363058,47,10,38,46,1650,1700,S23A.tsv
4,110,130,317,0.21153846153846154,28,10,31,41,1700,1750,S23A.tsv
4,120,185,483,0.16216216216216217,40,16,21,43,1750,1800,S23A.tsv
4,103,148,337,0.17398648648648649,42,2,18,41,1800,1850,S23A.tsv
4,89,127,243,0.17519685039370078,24,9,25,31,1850,1900,S23A.tsv
4,71,116,246,0.15301724137931033,23,12,18,18,1900,1950,S23A.tsv
4,103,118,291,0.21822033898305085,12,11,40,40,1950,2000,S23A.tsv
4,107,136,317,0.19669117647058823,29,30,8,40,2000,2050,S23A.tsv
4,83,128,248,0.162109375,22,7,24,30,2050,2100,S23A.tsv
4,71,88,188,0.20170454545454544,23,10,11,27,2100,2150,S23A.tsv
4,61,101,215,0.15099009900990099,18,17,8,18,2150,2200,S23A.tsv
4,80,119,252,0.16806722689075632,29,23,8,20,2200,2250,S23A.tsv
4,135,137,326,0.24635036496350365,37,20,29,49,2250,2300,S23A.tsv
4,90,123,303,0.18292682926829268,25,7,37,21,2300,2350,S23A.tsv
4,103,143,368,0.18006993006993008,27,8,25,43,2350,2400,S23A.tsv
4,96,128,298,0.1875,14,17,27,38,2400,2450,S23A.tsv
4,90,144,293,0.15625,28,10,22,30,2450,2500,S23A.tsv
4,111,154,339,0.18019480519480519,25,15,35,36,2500,2550,S23A.tsv
4,104,151,375,0.17218543046357615,12,11,44,37,2550,2600,S23A.tsv
4,101,116,252,0.21767241379310345,22,16,34,29,2600,2650,S23A.tsv
4,90,129,280,0.1744186046511628,12,23,34,21,2650,2700,S23A.tsv
4,58,108,233,0.13425925925925927,15,6,19,18,2700,2750,S23A.tsv
4,78,151,284,0.1291390728476821,11,16,35,16,2750,2800,S23A.tsv
4,129,158,353,0.20411392405063292,35,31,38,25,2800,2850,S23A.tsv
4,114,131,309,0.21755725190839695,12,33,38,31,2850,2900,S23A.tsv
4,82,128,282,0.16015625,15,19,26,22,2900,2950,S23A.tsv
4,110,123,290,0.22357723577235772,26,14,35,35,2950,3000,S23A.tsv
4,130,183,391,0.17759562841530055,50,1,39,40,3000,3050,S23A.tsv
4,102,135,342,0.18888888888888888,36,1,24,41,3050,3100,S23A.tsv
4,104,165,409,0.15757575757575756,37,5,20,42,3100,3150,S23A.tsv
4,115,138,326,0.20833333333333334,26,6,39,44,3150,3200,S23A.tsv
4,116,147,355,0.19727891156462585,38,17,16,45,3200,3239,S23A.tsv
