speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,80,127,282,0.15748031496062992,30,22,19,9,0,50,SCZZ.tsv
4,57,115,240,0.12391304347826088,21,22,14,0,50,100,SCZZ.tsv
4,107,123,299,0.21747967479674796,33,43,31,0,100,150,SCZZ.tsv
4,93,204,554,0.11397058823529412,46,3,44,0,150,200,SCZZ.tsv
4,166,195,478,0.2128205128205128,39,42,45,40,200,250,SCZZ.tsv
4,120,148,372,0.20270270270270271,36,37,26,21,250,300,SCZZ.tsv
4,99,144,273,0.171875,35,43,8,13,300,350,SCZZ.tsv
4,98,144,301,0.1701388888888889,17,37,34,10,350,400,SCZZ.tsv
4,87,152,368,0.14309210526315788,38,38,11,0,400,450,SCZZ.tsv
4,73,132,295,0.13825757575757575,31,33,9,0,450,500,SCZZ.tsv
4,83,140,259,0.14821428571428572,26,27,10,20,500,550,SCZZ.tsv
4,98,133,279,0.18421052631578946,33,28,30,7,550,600,SCZZ.tsv
4,143,234,633,0.1527777777777778,59,25,59,0,600,650,SCZZ.tsv
4,97,186,461,0.1303763440860215,34,26,37,0,650,700,SCZZ.tsv
4,39,81,166,0.12037037037037036,12,10,17,0,700,719,SCZZ.tsv
