speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,95,164,382,0.1448170731707317,38,14,21,22,0,50,SM99.tsv
4,114,144,356,0.19791666666666666,30,34,34,16,50,100,SM99.tsv
4,144,180,445,0.2,31,38,46,29,100,150,SM99.tsv
4,78,127,223,0.15354330708661418,12,24,26,16,150,200,SM99.tsv
4,83,111,222,0.18693693693693694,15,26,21,21,200,250,SM99.tsv
4,104,114,269,0.22807017543859648,18,31,37,18,250,300,SM99.tsv
4,115,145,322,0.19827586206896552,21,19,43,32,300,350,SM99.tsv
4,107,114,266,0.23464912280701755,32,14,25,36,350,400,SM99.tsv
4,117,133,300,0.2199248120300752,23,36,35,23,400,450,SM99.tsv
4,106,148,351,0.17905405405405406,38,21,25,22,450,500,SM99.tsv
4,123,128,332,0.240234375,27,36,30,30,500,550,SM99.tsv
4,85,128,230,0.166015625,17,26,26,16,550,600,SM99.tsv
4,114,161,363,0.17701863354037267,26,33,18,37,600,650,SM99.tsv
4,67,114,236,0.14692982456140352,23,6,14,24,650,700,SM99.tsv
4,68,83,222,0.20481927710843373,14,16,17,21,700,750,SM99.tsv
4,92,114,237,0.20175438596491227,17,25,23,27,750,800,SM99.tsv
4,92,128,293,0.1796875,22,32,26,12,800,850,SM99.tsv
4,114,151,347,0.18874172185430463,22,33,27,32,850,900,SM99.tsv
4,118,135,330,0.21851851851851853,29,34,28,27,900,950,SM99.tsv
4,112,132,289,0.21212121212121213,21,25,33,33,950,1000,SM99.tsv
4,83,109,218,0.19036697247706422,22,24,16,21,1000,1050,SM99.tsv
4,80,135,294,0.14814814814814814,20,12,25,23,1050,1100,SM99.tsv
4,96,126,300,0.19047619047619047,29,15,32,20,1100,1150,SM99.tsv
4,78,122,216,0.1598360655737705,16,16,20,26,1150,1200,SM99.tsv
4,81,102,247,0.19852941176470587,24,18,16,23,1200,1250,SM99.tsv
4,108,121,280,0.2231404958677686,22,26,37,23,1250,1300,SM99.tsv
4,83,113,256,0.1836283185840708,18,28,26,11,1300,1350,SM99.tsv
4,113,131,313,0.21564885496183206,30,23,42,18,1350,1400,SM99.tsv
4,125,131,270,0.2385496183206107,28,34,44,19,1400,1450,SM99.tsv
4,74,115,237,0.1608695652173913,9,24,30,11,1450,1488,SM99.tsv
