speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,135,121,315,0.27892561983471076,39,38,28,30,0,50,SNPA.tsv
4,116,161,342,0.18012422360248448,26,11,39,40,50,100,SNPA.tsv
4,142,157,387,0.22611464968152867,34,24,46,38,100,150,SNPA.tsv
4,113,133,290,0.212406015037594,25,30,39,19,150,200,SNPA.tsv
4,121,116,298,0.2607758620689655,37,30,35,19,200,250,SNPA.tsv
4,109,120,291,0.22708333333333333,18,37,32,22,250,300,SNPA.tsv
4,100,173,423,0.14450867052023122,33,19,41,7,300,350,SNPA.tsv
4,136,161,395,0.2111801242236025,25,23,43,45,350,400,SNPA.tsv
4,98,144,295,0.1701388888888889,22,20,30,26,400,450,SNPA.tsv
4,108,208,612,0.12980769230769232,17,22,46,23,450,500,SNPA.tsv
4,97,148,344,0.16385135135135134,11,22,33,31,500,550,SNPA.tsv
4,107,128,315,0.208984375,31,17,26,33,550,600,SNPA.tsv
4,101,125,299,0.202,28,23,22,28,600,650,SNPA.tsv
4,131,130,299,0.2519230769230769,27,29,46,29,650,700,SNPA.tsv
4,93,131,303,0.17748091603053434,30,31,30,2,700,750,SNPA.tsv
4,102,129,275,0.19767441860465115,27,32,26,17,750,800,SNPA.tsv
4,119,140,352,0.2125,24,40,35,20,800,850,SNPA.tsv
4,96,166,332,0.14457831325301204,29,29,33,5,850,900,SNPA.tsv
4,102,128,305,0.19921875,38,23,41,0,900,950,SNPA.tsv
4,105,142,306,0.18485915492957747,33,29,33,10,950,1000,SNPA.tsv
4,94,161,329,0.14596273291925466,0,11,42,41,1000,1050,SNPA.tsv
4,0,10,11,0.0,0,0,0,0,1050,1051,SNPA.tsv
