speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,56,107,201,0.1308411214953271,7,21,15,13,0,50,SQD6.tsv
4,87,100,260,0.2175,18,29,20,20,50,100,SQD6.tsv
4,119,124,301,0.2399193548387097,35,29,30,25,100,150,SQD6.tsv
4,121,150,340,0.20166666666666666,32,40,25,24,150,200,SQD6.tsv
4,135,159,389,0.21226415094339623,12,46,36,41,200,250,SQD6.tsv
4,100,122,274,0.20491803278688525,14,36,27,23,250,300,SQD6.tsv
4,131,123,326,0.266260162601626,10,41,44,36,300,350,SQD6.tsv
4,106,125,286,0.212,27,28,13,38,350,400,SQD6.tsv
4,91,122,344,0.1864754098360656,7,35,17,32,400,450,SQD6.tsv
4,118,114,296,0.25877192982456143,20,31,37,30,450,500,SQD6.tsv
4,77,109,233,0.17660550458715596,15,26,20,16,500,550,SQD6.tsv
4,91,135,305,0.1685185185185185,4,32,21,34,550,600,SQD6.tsv
4,107,145,396,0.18448275862068966,6,37,25,39,600,650,SQD6.tsv
4,108,114,301,0.23684210526315788,22,31,12,43,650,700,SQD6.tsv
4,104,140,369,0.18571428571428572,0,34,24,46,700,750,SQD6.tsv
4,67,95,204,0.1763157894736842,1,22,24,20,750,782,SQD6.tsv
