speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,64,153,389,0.10457516339869281,7,26,30,1,0,50,SV5A.tsv
4,72,108,237,0.16666666666666666,11,27,30,4,50,100,SV5A.tsv
4,67,96,239,0.17447916666666666,0,31,31,5,100,150,SV5A.tsv
4,65,123,298,0.13211382113821138,4,31,30,0,150,200,SV5A.tsv
4,69,107,245,0.16121495327102803,6,30,31,2,200,250,SV5A.tsv
4,84,143,333,0.14685314685314685,0,42,42,0,250,300,SV5A.tsv
4,54,125,308,0.108,2,24,27,1,300,350,SV5A.tsv
4,50,111,227,0.11261261261261261,1,23,23,3,350,400,SV5A.tsv
4,42,97,232,0.10824742268041238,4,17,18,3,400,450,SV5A.tsv
4,66,117,254,0.14102564102564102,0,33,32,1,450,500,SV5A.tsv
4,36,114,256,0.07894736842105263,0,18,17,1,500,550,SV5A.tsv
4,60,108,305,0.1388888888888889,4,28,28,0,550,600,SV5A.tsv
4,80,157,384,0.12738853503184713,0,37,35,8,600,650,SV5A.tsv
4,84,177,424,0.11864406779661017,0,42,42,0,650,700,SV5A.tsv
4,82,165,439,0.12424242424242424,1,41,40,0,700,750,SV5A.tsv
4,65,168,433,0.09672619047619048,3,31,31,0,750,800,SV5A.tsv
4,124,213,639,0.14553990610328638,0,62,62,0,800,850,SV5A.tsv
4,90,157,439,0.14331210191082802,0,45,45,0,850,900,SV5A.tsv
4,76,180,577,0.10555555555555556,0,38,38,0,900,950,SV5A.tsv
4,80,146,396,0.136986301369863,0,40,40,0,950,1000,SV5A.tsv
4,84,129,358,0.16279069767441862,0,42,42,0,1000,1050,SV5A.tsv
4,90,144,437,0.15625,0,45,45,0,1050,1100,SV5A.tsv
4,84,121,335,0.17355371900826447,0,42,42,0,1100,1150,SV5A.tsv
4,124,175,545,0.17714285714285713,0,62,62,0,1150,1200,SV5A.tsv
4,116,179,610,0.16201117318435754,0,58,58,0,1200,1250,SV5A.tsv
4,70,151,499,0.11589403973509933,0,35,35,0,1250,1300,SV5A.tsv
4,70,147,447,0.11904761904761904,0,35,35,0,1300,1350,SV5A.tsv
4,52,132,362,0.09848484848484848,0,26,26,0,1350,1400,SV5A.tsv
4,104,168,470,0.15476190476190477,11,46,47,0,1400,1450,SV5A.tsv
4,108,276,979,0.09782608695652174,0,54,54,0,1450,1500,SV5A.tsv
4,60,111,346,0.13513513513513514,0,30,30,0,1500,1537,SV5A.tsv
